time,temperature,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5/26/2017 13:19:39,23.84909248,58.55786896,0,0,0,0,-5.192881107,-14.85466576,1.182722807,0.42234078,0.203460172,0.890224576,-0.110113449,0.060865931,-0.013820525
5/26/2017 13:19:48,24.07253838,57.24993134,990.6682129,16.71182512,303.9399998,341.1182665,-10.64355087,-30.55133438,2.709532499,0.383064538,0.19860433,0.917274892,-0.108876571,0.052304886,-0.012511151
5/26/2017 13:19:57,24.1283989,56.79413605,990.657959,9.463278321,259.9766744,322.4402228,-12.60565567,-36.66516876,2.529813766,0.385246575,0.166312903,0.927997649,-0.104043715,0.045720126,-0.015003573
5/26/2017 13:20:06,24.31460381,56.49687576,990.6665039,356.4839019,207.7156459,310.6914574,-13.48221207,-39.66939926,2.687832832,0.386458784,0.178452536,0.92872864,-0.098240495,0.058853727,-0.013781842
5/26/2017 13:20:15,24.44494629,55.7173996,990.6853027,332.7107954,157.614743,315.9904923,-14.0899601,-40.53024292,2.608757019,0.375791162,0.202003419,0.917031288,-0.107554413,0.040546782,-0.011245793
5/26/2017 13:20:25,24.51942825,55.60840607,990.6506348,345.0237789,109.1135766,309.4874111,-14.32033157,-40.93924332,2.751378536,0.375063837,0.188892633,0.920442998,-0.093893997,0.043927349,-0.011609172
5/26/2017 13:20:33,24.68701363,55.23518372,990.6374512,353.9726279,53.25325692,333.6522806,-14.20456123,-41.35960388,2.828542948,0.372396916,0.180880472,0.949686646,-0.093893997,0.02254707,-0.015579795
5/26/2017 13:20:42,24.76149559,54.89168167,990.6638184,16.41909345,7.886478779,339.6204811,-6.527847767,-39.65166473,-1.714704871,0.41312784,0.203217387,0.902653158,-0.095184386,0.041374218,-0.005568854
5/26/2017 13:20:52,24.92907906,54.80911255,990.6337891,299.8725128,73.37028139,36.17312239,-5.430645466,-38.24291992,-2.657789946,0.557868063,0.17918092,0.947249651,-0.045704301,0.544727147,0.695093572
5/26/2017 13:21:00,24.9477005,54.62745285,990.6662598,316.8763917,14.60075366,55.76068084,-18.78090858,-32.97092056,-0.128031522,0.374094039,0.208316028,0.917518616,-0.08689215,0.039944116,-0.012094676
